epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2022,0.86244,2.31516,3.09408,1.1668,0,0.01775,0.8613,0.40975,0.33241,0.01485,0.70742,0.35977,0.28079,0.6837,2.48765,3.09892,1.07656,0,0.000406977,0.000406977,0.000406977
2,18.4072,0.89258,1.88328,2.23403,1.13304,0,0.82112,0.40507,0.49066,0.37283,0.82567,0.39809,0.44457,0.3054,1.0059,3.19037,2.50578,1.27899,0,0.000815489,0.000815489,0.000815489
3,22.5663,0.91824,1.89533,1.73856,1.15998,0,0.80673,0.50853,0.54922,0.37746,0.7537,0.42514,0.44969,0.30865,1.05221,3.04845,1.85094,1.35175,0,0.00121575,0.00121575,0.00121575
4,26.688,0.90476,1.94293,1.54479,1.17039,0,0.59194,0.50425,0.51822,0.38741,0.51232,0.45577,0.45489,0.33779,0.90073,2.44393,1.60309,1.23378,0,0.00121287,0.00121287,0.00121287
5,30.8336,0.82108,1.82674,1.34286,1.11092,0,0.56932,0.56028,0.56025,0.38327,0.57822,0.45016,0.45474,0.32025,1.00923,2.51398,1.58567,1.31684,0,0.0012005,0.0012005,0.0012005
6,34.9769,0.79296,1.68187,1.20525,1.08766,0,0.71328,0.57384,0.61894,0.44186,0.71653,0.51949,0.54125,0.37311,0.87729,2.5976,1.68931,1.22068,0,0.00118812,0.00118812,0.00118812
7,39.1241,0.81047,1.76142,1.22471,1.11819,0,0.68955,0.60313,0.64347,0.47237,0.6566,0.5357,0.53404,0.40778,0.83907,2.27601,1.36693,1.18509,0,0.00117575,0.00117575,0.00117575
8,43.3023,0.77203,1.70591,1.19696,1.08967,0,0.67498,0.63971,0.674,0.49822,0.55613,0.55511,0.51701,0.37317,0.77426,2.29641,1.29529,1.13616,0,0.00116337,0.00116337,0.00116337
9,47.4935,0.77592,1.73976,1.19409,1.09336,0,0.66367,0.59876,0.60708,0.47116,0.63227,0.55716,0.54405,0.40044,0.82257,2.27429,1.34471,1.17752,0,0.001151,0.001151,0.001151
10,51.6138,0.76095,1.65208,1.10036,1.07952,0,0.72502,0.63854,0.69164,0.53477,0.65109,0.5797,0.59057,0.45345,0.76346,2.00043,1.19038,1.10605,0,0.00113863,0.00113863,0.00113863
11,55.8426,0.73391,1.52938,1.05412,1.07092,0,0.66828,0.67605,0.65825,0.49393,0.62714,0.56783,0.55614,0.40211,0.76508,2.21032,1.121,1.11071,0,0.00112625,0.00112625,0.00112625
12,59.9823,0.70746,1.50747,1.04011,1.06367,0,0.60641,0.65317,0.60681,0.47251,0.55891,0.59562,0.55347,0.40554,0.72796,2.08254,1.1437,1.09647,0,0.00111388,0.00111388,0.00111388
13,64.0968,0.71241,1.58365,0.99804,1.04718,0,0.73801,0.63353,0.67399,0.49512,0.77586,0.51931,0.56476,0.4354,0.79694,2.03656,1.20387,1.17668,0,0.0011015,0.0011015,0.0011015
14,68.2401,0.7064,1.54195,1.00459,1.04951,0,0.62389,0.67843,0.64073,0.48644,0.56945,0.61215,0.5341,0.40593,0.74938,1.84756,1.079,1.13277,0,0.00108913,0.00108913,0.00108913
15,72.3673,0.7112,1.54743,1.01001,1.06785,0,0.64506,0.68445,0.65462,0.4877,0.61499,0.54482,0.52734,0.39677,0.78077,1.98676,1.13414,1.12312,0,0.00107675,0.00107675,0.00107675
16,76.5004,0.68714,1.41908,0.93043,1.03344,0,0.70152,0.76793,0.73162,0.55847,0.63178,0.68519,0.63093,0.47545,0.71,1.85307,0.9856,1.08096,0,0.00106437,0.00106437,0.00106437
17,80.7054,0.70216,1.50484,0.96975,1.05042,0,0.73418,0.67278,0.69271,0.53219,0.80356,0.60253,0.64611,0.49115,0.75364,1.86071,1.01999,1.1323,0,0.001052,0.001052,0.001052
18,84.8771,0.66762,1.38069,0.9091,1.02942,0,0.7616,0.63318,0.69109,0.53728,0.71904,0.60704,0.63577,0.47961,0.7433,1.93907,1.05472,1.12532,0,0.00103962,0.00103962,0.00103962
19,89.0457,0.6676,1.32937,0.88567,1.02312,0,0.74159,0.63805,0.70787,0.55535,0.64517,0.56565,0.58892,0.44728,0.68661,1.90697,0.97612,1.10739,0,0.00102725,0.00102725,0.00102725
20,93.1832,0.66573,1.37995,0.87033,1.03525,0,0.79504,0.67961,0.72231,0.56269,0.73691,0.62849,0.62491,0.47999,0.71531,1.9131,0.99047,1.1059,0,0.00101488,0.00101488,0.00101488
21,97.3159,0.65638,1.37928,0.86142,1.02872,0,0.68832,0.6447,0.66783,0.52245,0.62645,0.57194,0.56976,0.44452,0.74231,1.82055,1.09241,1.12111,0,0.0010025,0.0010025,0.0010025
22,101.492,0.66627,1.44557,0.87183,1.02582,0,0.8156,0.67674,0.72627,0.58672,0.75767,0.61319,0.63833,0.47861,0.64745,1.87288,0.9834,1.05636,0,0.000990125,0.000990125,0.000990125
23,105.67,0.63367,1.3203,0.84823,1.01948,0,0.69709,0.74809,0.71722,0.55093,0.70777,0.61799,0.61987,0.44341,0.69654,1.88045,0.93249,1.07018,0,0.00097775,0.00097775,0.00097775
24,109.8,0.61935,1.29713,0.80065,1.00859,0,0.77127,0.7276,0.75371,0.59902,0.69334,0.64382,0.65775,0.50808,0.68909,1.80505,0.90243,1.07243,0,0.000965375,0.000965375,0.000965375
25,113.983,0.62674,1.32599,0.80252,1.00755,0,0.72216,0.75176,0.74294,0.59596,0.6313,0.68542,0.62364,0.4873,0.66649,1.68126,0.85581,1.04108,0,0.000953,0.000953,0.000953
26,118.115,0.64336,1.39242,0.79256,1.02074,0,0.71575,0.70828,0.74851,0.58332,0.63696,0.6397,0.63623,0.47563,0.66223,1.71978,0.897,1.05628,0,0.000940625,0.000940625,0.000940625
27,122.257,0.62611,1.35532,0.77827,1.00369,0,0.76748,0.70289,0.75985,0.61525,0.75149,0.6441,0.68593,0.52779,0.63965,1.78687,0.86689,1.0564,0,0.00092825,0.00092825,0.00092825
28,126.464,0.6273,1.27948,0.74682,0.99271,0,0.90778,0.65112,0.75566,0.60671,0.70507,0.62797,0.6494,0.48001,0.64046,1.76139,0.81063,1.03809,0,0.000915875,0.000915875,0.000915875
29,130.675,0.63412,1.32709,0.74749,1.0055,0,0.74113,0.75679,0.75671,0.57084,0.67152,0.69238,0.64145,0.46424,0.65599,1.94548,0.87147,1.07129,0,0.0009035,0.0009035,0.0009035
30,134.882,0.63239,1.33208,0.78325,1.01399,0,0.79873,0.64521,0.69221,0.57158,0.77615,0.62577,0.64635,0.4783,0.67242,1.76133,0.95926,1.06185,0,0.000891125,0.000891125,0.000891125
31,139.035,0.60862,1.26826,0.75554,0.99365,0,0.81979,0.70754,0.76231,0.6058,0.75926,0.66221,0.68681,0.51946,0.66943,1.76124,0.87005,1.06096,0,0.00087875,0.00087875,0.00087875
32,143.218,0.60252,1.25615,0.74631,0.99445,0,0.79391,0.79397,0.79891,0.63308,0.78543,0.69302,0.72701,0.55615,0.65234,1.65087,0.86285,1.05342,0,0.000866375,0.000866375,0.000866375
33,147.446,0.60481,1.28061,0.73499,0.99601,0,0.79098,0.69091,0.76045,0.62251,0.75124,0.67386,0.69315,0.54126,0.62925,1.69521,0.86055,1.04258,0,0.000854,0.000854,0.000854
34,151.67,0.59577,1.21247,0.71228,0.98611,0,0.83434,0.66084,0.76117,0.62078,0.81666,0.6142,0.68521,0.50083,0.59683,1.7872,0.78786,1.00098,0,0.000841625,0.000841625,0.000841625
35,155.816,0.58672,1.24343,0.72458,0.98713,0,0.84179,0.66628,0.73861,0.60228,0.80849,0.63856,0.67999,0.51506,0.59755,1.87744,0.834,1.00748,0,0.00082925,0.00082925,0.00082925
36,159.913,0.6027,1.24269,0.71658,1.0012,0,0.70376,0.72414,0.7425,0.62403,0.82062,0.59114,0.67496,0.52717,0.60494,1.80469,0.80527,1.02358,0,0.000816875,0.000816875,0.000816875
37,164.103,0.59233,1.23504,0.68774,0.98586,0,0.8492,0.74262,0.78722,0.65405,0.75204,0.67351,0.65833,0.53295,0.60021,1.70521,0.78362,1.00725,0,0.0008045,0.0008045,0.0008045
38,168.315,0.58065,1.23103,0.66986,0.97182,0,0.77528,0.73062,0.78696,0.65962,0.69253,0.68352,0.7001,0.5634,0.59895,1.51312,0.76175,1.03072,0,0.000792125,0.000792125,0.000792125
39,172.453,0.58664,1.20916,0.69752,0.98443,0,0.69349,0.65288,0.70914,0.57901,0.71981,0.57311,0.63857,0.50573,0.63077,1.6997,0.86587,1.05145,0,0.00077975,0.00077975,0.00077975
40,176.608,0.5859,1.23208,0.66728,0.98951,0,0.82442,0.67222,0.74209,0.61697,0.7843,0.63482,0.67221,0.51607,0.62106,1.73961,0.78113,1.04576,0,0.000767375,0.000767375,0.000767375
41,180.848,0.56612,1.21641,0.66375,0.96955,0,0.80501,0.72119,0.77109,0.65479,0.74748,0.66557,0.69228,0.54385,0.58133,1.50386,0.71582,1.01203,0,0.000755,0.000755,0.000755
42,184.972,0.548,1.14509,0.63214,0.96031,0,0.80458,0.744,0.78794,0.64535,0.78374,0.62486,0.68589,0.54593,0.56612,1.55049,0.71593,0.99921,0,0.000742625,0.000742625,0.000742625
43,189.098,0.55115,1.10638,0.642,0.97554,0,0.84491,0.75483,0.7786,0.63308,0.77713,0.65841,0.68341,0.5467,0.60751,1.63521,0.80318,1.0284,0,0.00073025,0.00073025,0.00073025
44,193.263,0.55361,1.15677,0.63001,0.96968,0,0.80013,0.79862,0.82488,0.64332,0.83009,0.6568,0.70207,0.52841,0.60145,1.60939,0.71609,1.01904,0,0.000717875,0.000717875,0.000717875
45,197.388,0.53857,1.07228,0.6144,0.96485,0,0.79657,0.72178,0.77519,0.65542,0.75562,0.68655,0.70321,0.5427,0.56492,1.62342,0.73495,0.99041,0,0.0007055,0.0007055,0.0007055
46,201.586,0.56773,1.18657,0.64574,0.98213,0,0.80923,0.76847,0.78022,0.64093,0.73992,0.71368,0.68415,0.53171,0.5765,1.49851,0.72317,0.98775,0,0.000693125,0.000693125,0.000693125
47,205.694,0.54501,1.17651,0.64358,0.97102,0,0.8426,0.78544,0.82555,0.68909,0.82056,0.71333,0.73692,0.55426,0.54686,1.49299,0.69128,0.98777,0,0.00068075,0.00068075,0.00068075
48,209.885,0.55884,1.15756,0.64363,0.97666,0,0.8473,0.74585,0.79181,0.66155,0.87942,0.67569,0.74168,0.55632,0.57859,1.5599,0.73235,1.0156,0,0.000668375,0.000668375,0.000668375
49,214.047,0.54531,1.20868,0.613,0.96315,0,0.86518,0.7192,0.76815,0.64452,0.80979,0.67544,0.69763,0.55109,0.5789,1.57254,0.74275,1.00977,0,0.000656,0.000656,0.000656
50,218.14,0.52432,1.05663,0.58661,0.95488,0,0.89227,0.72307,0.83442,0.67829,0.85209,0.65069,0.74333,0.56228,0.56265,1.64703,0.70624,1.00761,0,0.000643625,0.000643625,0.000643625
51,222.262,0.54068,1.05973,0.57023,0.95965,0,0.87271,0.76733,0.80968,0.64597,0.83504,0.70997,0.7388,0.53361,0.59548,1.67083,0.72244,1.03968,0,0.00063125,0.00063125,0.00063125
52,226.509,0.55062,1.13186,0.61511,0.9637,0,0.781,0.80405,0.80047,0.65202,0.80677,0.73825,0.75165,0.56322,0.57199,1.42064,0.68632,1.0128,0,0.000618875,0.000618875,0.000618875
53,230.695,0.54919,1.18364,0.60926,0.96365,0,0.8651,0.67831,0.76989,0.63148,0.8501,0.6315,0.70326,0.53737,0.58542,1.62687,0.75129,1.0184,0,0.0006065,0.0006065,0.0006065
54,234.804,0.53057,1.07518,0.57354,0.96579,0,0.85225,0.74413,0.78117,0.65681,0.81516,0.67414,0.70777,0.55617,0.56481,1.56121,0.75329,1.00605,0,0.000594125,0.000594125,0.000594125
