epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
28,166.817,0.57759,1.20718,0.7167,0.99831,0,0.87306,0.73077,0.82641,0.71857,0.87048,0.7024,0.77959,0.64359,0.52267,1.2267,0.77131,0.9533,0,0.000915875,0.000915875,0.000915875
29,172.172,0.56393,1.13861,0.69614,0.98893,0,0.89399,0.74659,0.85093,0.71998,0.83479,0.7219,0.78606,0.64776,0.54643,1.35937,0.72348,0.96181,0,0.0009035,0.0009035,0.0009035
30,177.558,0.56667,1.21313,0.69698,0.98432,0,0.88458,0.77755,0.84532,0.74181,0.84406,0.73758,0.78441,0.66513,0.48889,1.13075,0.70878,0.92197,0,0.000891125,0.000891125,0.000891125
31,182.992,0.5723,1.14866,0.70419,0.98657,0,0.87936,0.8248,0.86049,0.74712,0.8388,0.73645,0.77224,0.65285,0.48796,1.28952,0.64777,0.90964,0,0.00087875,0.00087875,0.00087875
32,188.418,0.5654,1.15161,0.68878,0.98275,0,0.88008,0.77936,0.83874,0.73293,0.85699,0.7379,0.78032,0.65631,0.46611,1.09804,0.71959,0.90955,0,0.000866375,0.000866375,0.000866375
33,193.809,0.55013,1.10516,0.66653,0.98356,0,0.85136,0.82305,0.84255,0.742,0.8419,0.79845,0.79601,0.66332,0.49865,1.19379,0.68017,0.9264,0,0.000854,0.000854,0.000854
34,199.313,0.5399,1.11664,0.64133,0.97437,0,0.85796,0.79118,0.83988,0.74175,0.81249,0.74841,0.78356,0.66996,0.48146,1.17643,0.71205,0.91991,0,0.000841625,0.000841625,0.000841625
35,204.654,0.5346,1.14156,0.67409,0.97487,0,0.87011,0.79554,0.86379,0.75271,0.82232,0.76632,0.79797,0.67718,0.4973,1.1046,0.63556,0.93192,0,0.00082925,0.00082925,0.00082925
36,210.051,0.55963,1.17509,0.66558,0.98117,0,0.88265,0.79369,0.87295,0.76455,0.83955,0.75244,0.80903,0.6923,0.48024,1.09389,0.63547,0.91306,0,0.000816875,0.000816875,0.000816875
37,215.519,0.55979,1.14422,0.65736,0.97493,0,0.88484,0.81097,0.86587,0.77079,0.83618,0.77083,0.80377,0.67346,0.49959,1.09145,0.66506,0.92486,0,0.0008045,0.0008045,0.0008045
38,220.858,0.52443,1.04484,0.59685,0.95621,0,0.9066,0.78838,0.86188,0.75593,0.87585,0.73844,0.79491,0.68135,0.49565,1.1545,0.65232,0.95791,0,0.000792125,0.000792125,0.000792125
39,226.17,0.51806,1.07368,0.59526,0.96317,0,0.87886,0.77988,0.86078,0.75727,0.82828,0.75339,0.80855,0.66682,0.48946,1.20951,0.59947,0.91758,0,0.00077975,0.00077975,0.00077975
40,231.674,0.54286,1.0898,0.62726,0.96812,0,0.90581,0.75425,0.84419,0.75332,0.89222,0.72584,0.79732,0.65858,0.45875,1.18646,0.60219,0.89778,0,0.000767375,0.000767375,0.000767375
41,237.031,0.53868,1.12627,0.62426,0.96991,0,0.89879,0.80437,0.89204,0.78117,0.86171,0.75388,0.82302,0.70613,0.4589,1.06838,0.57732,0.89619,0,0.000755,0.000755,0.000755
42,242.421,0.54648,1.14893,0.61883,0.97399,0,0.90829,0.81444,0.86117,0.75944,0.86465,0.7441,0.79128,0.67953,0.45812,1.10949,0.60301,0.9049,0,0.000742625,0.000742625,0.000742625
43,247.717,0.50913,0.98722,0.58353,0.9587,0,0.90322,0.80241,0.88784,0.77761,0.84361,0.77253,0.8303,0.69763,0.44703,1.11507,0.60224,0.88315,0,0.00073025,0.00073025,0.00073025
44,253.033,0.53629,1.1133,0.60838,0.97471,0,0.90511,0.8285,0.89197,0.77929,0.85031,0.75977,0.79241,0.67019,0.4627,1.05167,0.55571,0.90385,0,0.000717875,0.000717875,0.000717875
45,258.336,0.48777,0.98964,0.55662,0.94615,0,0.85697,0.81899,0.8823,0.78437,0.91517,0.73082,0.83476,0.69643,0.44404,1.08952,0.55028,0.8947,0,0.0007055,0.0007055,0.0007055
46,263.66,0.5276,1.15427,0.61409,0.96503,0,0.88221,0.80511,0.87725,0.78557,0.83756,0.76448,0.81436,0.68225,0.46068,1.10554,0.60049,0.90805,0,0.000693125,0.000693125,0.000693125
47,269.163,0.51612,1.04546,0.57098,0.95652,0,0.88013,0.83204,0.87577,0.78168,0.8425,0.79617,0.81189,0.69374,0.44369,1.0701,0.52639,0.88467,0,0.00068075,0.00068075,0.00068075
48,274.539,0.50462,1.07233,0.57784,0.95902,0,0.88686,0.79382,0.86272,0.76809,0.86932,0.77258,0.81111,0.68109,0.42594,1.1338,0.55675,0.87227,0,0.000668375,0.000668375,0.000668375
49,279.872,0.49992,1.02907,0.55947,0.94895,0,0.86908,0.82245,0.8757,0.76758,0.87808,0.74248,0.82882,0.7055,0.43627,1.00863,0.54854,0.87822,0,0.000656,0.000656,0.000656
50,285.212,0.49424,1.0165,0.55434,0.94739,0,0.90389,0.806,0.88368,0.76886,0.86426,0.76368,0.82102,0.69859,0.48448,0.98953,0.62414,0.92903,0,0.000643625,0.000643625,0.000643625
51,290.524,0.48952,1.00476,0.5536,0.94566,0,0.90105,0.81813,0.86559,0.77199,0.88063,0.75845,0.80753,0.69411,0.43881,1.13289,0.57709,0.89499,0,0.00063125,0.00063125,0.00063125
52,295.876,0.49617,1.05222,0.55016,0.9561,0,0.88474,0.83246,0.90139,0.79253,0.85499,0.80057,0.8466,0.71421,0.40751,1.01393,0.51832,0.86229,0,0.000618875,0.000618875,0.000618875
53,301.344,0.47209,1.00454,0.526,0.93934,0,0.89113,0.82543,0.88929,0.79796,0.85525,0.78435,0.82722,0.69534,0.44332,1.11914,0.52208,0.90252,0,0.0006065,0.0006065,0.0006065
54,306.773,0.50149,1.03141,0.54265,0.94573,0,0.8557,0.86909,0.89729,0.79431,0.87413,0.78069,0.84858,0.72094,0.41947,1.01374,0.52378,0.86237,0,0.000594125,0.000594125,0.000594125
55,312.059,0.46208,0.93517,0.5036,0.9429,0,0.82564,0.83146,0.86845,0.76785,0.8274,0.75559,0.81651,0.70232,0.42691,1.04421,0.54194,0.88175,0,0.00058175,0.00058175,0.00058175
56,317.4,0.47973,1.0076,0.52893,0.94649,0,0.92547,0.79365,0.88431,0.78984,0.90151,0.76555,0.84474,0.71222,0.43785,1.05758,0.51585,0.87955,0,0.000569375,0.000569375,0.000569375
57,322.731,0.46739,0.98188,0.52616,0.92836,0,0.89347,0.82714,0.86671,0.78168,0.8792,0.7965,0.83359,0.71339,0.44009,1.02993,0.57451,0.90229,0,0.000557,0.000557,0.000557
58,328.017,0.468,0.92248,0.51151,0.94351,0,0.90012,0.8115,0.883,0.79207,0.92087,0.78701,0.84969,0.71487,0.4366,1.02988,0.52243,0.87975,0,0.000544625,0.000544625,0.000544625
