epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,20.1921,0.84246,2.13571,3.0858,1.15381,0,0.0169,0.80571,0.4147,0.35261,0.01535,0.73267,0.39388,0.30898,0.66522,2.29551,3.03851,1.07382,0,0.000408497,0.000408497,0.000408497
2,24.9987,0.81866,1.73672,2.15922,1.11202,0,0.57987,0.4803,0.52008,0.43052,0.60185,0.47001,0.48167,0.3684,0.88494,2.57033,1.96921,1.22632,0,0.000816994,0.000816994,0.000816994
3,29.8322,0.85813,1.76676,1.61178,1.15438,0,0.54549,0.57793,0.58324,0.43921,0.58812,0.47147,0.50804,0.3594,0.89083,2.79816,1.89721,1.22589,0,0.00121724,0.00121724,0.00121724
4,34.6739,0.83147,1.7646,1.43283,1.1346,0,0.61939,0.62241,0.62693,0.47997,0.53986,0.56023,0.54433,0.31999,0.78715,3.45309,1.84472,1.15714,0,0.00121287,0.00121287,0.00121287
5,39.5409,0.78653,1.62887,1.2794,1.09634,0,0.64993,0.67667,0.68786,0.53649,0.61775,0.64466,0.60298,0.46474,0.77337,2.12513,1.36989,1.10795,0,0.0012005,0.0012005,0.0012005
6,44.4718,0.77204,1.65902,1.23491,1.08857,0,0.8476,0.64416,0.73909,0.58948,0.8193,0.62181,0.66997,0.51479,0.74925,2.26673,1.12289,1.10129,0,0.00118812,0.00118812,0.00118812
7,49.3265,0.72789,1.58257,1.1159,1.06339,0,0.80483,0.66948,0.76086,0.5842,0.77247,0.64798,0.69009,0.51117,0.72446,2.09668,1.15238,1.11013,0,0.00117575,0.00117575,0.00117575
8,54.1238,0.73302,1.6429,1.11794,1.07226,0,0.79068,0.7416,0.78615,0.62525,0.75288,0.69899,0.69694,0.54665,0.68597,1.72539,1.10067,1.06418,0,0.00116337,0.00116337,0.00116337
9,59.0096,0.73542,1.58814,1.08501,1.0836,0,0.76329,0.64833,0.73178,0.59378,0.74507,0.63012,0.67844,0.53898,0.71526,1.77559,1.16376,1.10855,0,0.001151,0.001151,0.001151
10,63.799,0.685,1.50277,1.03881,1.05332,0,0.79754,0.69918,0.7712,0.61724,0.82978,0.64154,0.69727,0.55425,0.66992,1.72671,1.1074,1.06793,0,0.00113863,0.00113863,0.00113863
11,68.5965,0.67377,1.44023,1.00381,1.0325,0,0.62887,0.62034,0.64414,0.55027,0.66059,0.56804,0.60268,0.48302,0.69308,1.71721,1.40276,1.08242,0,0.00112625,0.00112625,0.00112625
12,73.6059,0.67544,1.43723,1.0062,1.02644,0,0.75393,0.74458,0.79764,0.66258,0.72587,0.70634,0.73148,0.55784,0.6379,2.1554,1.12413,1.02767,0,0.00111388,0.00111388,0.00111388
13,78.393,0.67548,1.44935,0.97877,1.04462,0,0.75776,0.64538,0.75428,0.60128,0.75108,0.60877,0.67823,0.51836,0.71003,1.84852,1.18172,1.08551,0,0.0011015,0.0011015,0.0011015
14,83.1705,0.65762,1.37809,0.96548,1.03158,0,0.85335,0.7738,0.84007,0.68946,0.80514,0.73068,0.76362,0.58711,0.61191,1.8561,0.91986,1.01954,0,0.00108913,0.00108913,0.00108913
15,87.9787,0.66145,1.36064,0.91509,1.03393,0,0.75722,0.77729,0.80334,0.66713,0.82148,0.69991,0.76675,0.58344,0.6279,1.6023,0.94891,1.03248,0,0.00107675,0.00107675,0.00107675
16,92.826,0.66183,1.33301,0.91003,1.02713,0,0.81864,0.70465,0.7798,0.6418,0.7964,0.68184,0.72104,0.54494,0.63683,1.78689,1.01301,1.05257,0,0.00106437,0.00106437,0.00106437
17,97.6836,0.64167,1.32819,0.8661,1.00831,0,0.77733,0.69167,0.76756,0.61004,0.74249,0.6672,0.69395,0.52246,0.65613,1.92164,1.01993,1.03507,0,0.001052,0.001052,0.001052
18,102.494,0.636,1.32708,0.86465,1.01031,0,0.75992,0.72601,0.80636,0.65532,0.73664,0.70125,0.73934,0.58845,0.64956,1.59905,0.95986,1.04716,0,0.00103962,0.00103962,0.00103962
19,107.407,0.624,1.27434,0.83207,1.01168,0,0.81347,0.73578,0.78254,0.62378,0.73078,0.65257,0.67022,0.52537,0.68359,2.03931,1.03707,1.08196,0,0.00102725,0.00102725,0.00102725
